Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,125,125,125,125
Products,23,23,23,23
Setup Time,00:00:00,00:00:00,00:00:00,00:00:00
Setup Count,0,0,0,0
Product-Machine Pairs,62,58,58,58
Moving Time,02:39:00,02:39:00,02:39:00,02:39:00
Moving Count,11,11,11,11
Proc Time,941:23:45,941:23:45,941:23:45,941:23:45
Processing (sec),3389025.00,3389025.00,3389025.00,3389025.00
Total Time (sec),3398565.00,3398565.00,3398565.00,3398565.00
Average Flow Time (sec),91597.56,85859.88,85859.88,85859.88
Makespan,144:00:00,129:02:00,129:02:00,129:02:00
Schedule Span,136:00:00,121:02:00,121:02:00,121:02:00
Tardiness,208:38:20,208:38:20,208:38:20,208:38:20
Tardy Lots,4,4,4,4
Objective,7157185.0,7157185.0,7157185.0,7157185.0
Solve Time,13.46s,0.55s,8.40s,71.60s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,0,0
Number of Updates,-,0,0,0
Absolute Gap vs Best,0.000000,0.000000,0.000000,0.000000
RPD vs Best (%),0.0000%,0.0000%,0.0000%,0.0000%
MIP Gap,0.00%,-,-,-
