Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,141:30:00,112:00:00,127:30:00,102:30:00
Setup Count,283,224,255,205
Product-Machine Pairs,273,231,251,215
Moving Time,12:12:00,20:04:00,18:24:00,17:50:00
Moving Count,67,102,94,94
Proc Time,8075:12:45,8417:14:50,8308:03:10,8305:47:20
Processing (sec),29070765.00,30302090.00,29908990.00,29900840.00
Total Time (sec),29624085.00,30777530.00,30434230.00,30334040.00
Average Flow Time (sec),292592.16,324996.31,318416.60,294272.90
Makespan,463:43:50,361:56:10,316:51:55,353:21:35
Schedule Span,455:43:50,353:56:10,308:51:55,345:21:35
Tardiness,5399:12:05,8402:05:40,5222:44:25,5248:11:30
Tardy Lots,64,114,90,83
Objective,106994163.0,129743432.0,86955991.5,84023074.5
Solve Time,633.31s,1.93s,32.05s,184.05s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,94
Number of Updates,-,0,5,23
Absolute Gap vs Best,22971088.500000,45720357.500000,2932917.000000,0.000000
RPD vs Best (%),27.3390%,54.4140%,3.4906%,0.0000%
MIP Gap,80.91%,-,-,-
