Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,30:30:00,107:00:00,117:00:00,91:30:00
Setup Count,61,214,234,183
Product-Machine Pairs,106,228,229,214
Moving Time,13:44:00,21:31:00,19:29:00,20:31:00
Moving Count,69,102,100,90
Proc Time,8087:58:35,8417:14:50,8345:29:00,8321:00:40
Processing (sec),29116715.00,30302090.00,30043740.00,29955640.00
Total Time (sec),29275955.00,30764750.00,30535080.00,30358900.00
Average Flow Time (sec),650626.69,333813.56,327198.39,290965.41
Makespan,1251:40:35,361:56:10,324:08:10,371:12:10
Schedule Span,1243:40:35,353:56:10,316:08:10,363:12:10
Tardiness,35083:03:35,8459:51:55,5510:54:10,4790:16:05
Tardy Lots,146,114,93,70
Objective,699696139.9996033,130324765.0,91855400.0,70255555.0
Solve Time,648.48s,1.68s,29.17s,174.00s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,98
Number of Updates,-,0,6,26
Absolute Gap vs Best,629440584.999603,60069210.000000,21599845.000000,0.000000
RPD vs Best (%),895.9300%,85.5010%,30.7447%,0.0000%
MIP Gap,97.08%,-,-,-
