lot ID,Product ID,Option,Qty,Due date,Priority,Operation Sequence,Prev Machine,Machine ID,Moving Time,Setup Time,Processing Time,Start Time (sec),Processing Start,End Time (sec),Processing Start (raw sec),End Time (raw sec)
lot1,86A-3BF8N-CNT-SG-S,1,100,1/4/2026,1,3,,M-0127,0.0,0.0,34000.0,01/10/2026 07:48:10,01/10/2026 07:48:10,01/10/2026 17:14:50,805690.0,839690.0
lot2,DC-25M-S,1,500,1/2/2026,2,1,,O-0003,0.0,0.0,31000.0,01/04/2026 15:20:40,01/04/2026 15:20:40,01/04/2026 23:57:20,314440.0,345440.0
lot2,DC-25M-S,1,500,1/2/2026,2,2,O-0003,M-0082,660.0,0.0,115000.0,01/06/2026 09:35:10,01/06/2026 09:35:10,01/07/2026 17:31:50,466510.0,581510.0
lot3,DCF6-8N-HC,1,120,1/5/2026,3,3,,DNC002,0.0,1800.0,36960.0,01/19/2026 01:11:50,01/19/2026 01:41:50,01/19/2026 11:57:50,1561310.0,1598270.0
lot4,DMAA12-8-B,2,100,1/3/2026,4,3,,M-0081,0.0,1800.0,9000.0,01/11/2026 13:23:45,01/11/2026 13:53:45,01/11/2026 16:23:45,914025.0,923025.0
lot5,DN-32-S,1,500,1/2/2026,5,1,,M-0005,0.0,0.0,112000.0,01/02/2026 02:40:00,01/02/2026 02:40:00,01/03/2026 09:46:40,96000.0,208000.0
lot5,DN-32-S,1,500,1/2/2026,5,2,M-0005,M-0124,720.0,0.0,199000.0,01/03/2026 12:02:00,01/03/2026 12:02:00,01/05/2026 19:18:40,216120.0,415120.0
lot6,DR4-6-M6,2,100,1/4/2026,6,4,,M-0122,0.0,0.0,29900.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 16:18:20,28800.0,58700.0
lot7,DTR12-12-6-S,4,80,1/4/2026,7,4,,M-0121,0.0,0.0,8400.0,01/02/2026 15:03:45,01/02/2026 15:03:45,01/02/2026 17:23:45,140625.0,149025.0
lot8,G82B-3B-BOD-D-8M-S,1,500,1/2/2026,8,1,,M-0087,0.0,1800.0,267500.0,01/01/2026 21:37:30,01/01/2026 22:07:30,01/05/2026 00:25:50,79650.0,347150.0
