lot ID,Product ID,Option,Qty,Due date,Priority,Operation Sequence,Prev Machine,Machine ID,Moving Time,Setup Time,Processing Time,Start Time (sec),Processing Start,End Time (sec),Processing Start (raw sec),End Time (raw sec)
lot1,86A-3BF8N-CNT-SG-S,1,100,1/4/2026,1,3,,G-002,0.0,0.0,34000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 17:26:40,28800.0,62800.0
lot2,DC-25M-S,1,500,1/2/2026,2,1,,M-0081,0.0,0.0,31000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 16:36:40,28800.0,59800.0
lot2,DC-25M-S,1,500,1/2/2026,2,2,M-0081,M-0081,0.0,0.0,115000.0,01/01/2026 16:36:40,01/01/2026 16:36:40,01/03/2026 00:33:20,59800.0,174800.0
lot3,DCF6-8N-HC,1,120,1/5/2026,3,3,,M-0241,0.0,1800.0,36960.0,01/04/2026 13:14:00,01/04/2026 13:44:00,01/05/2026 00:00:00,308640.0,345600.0
lot4,DMAA12-8-B,2,100,1/3/2026,4,3,,DNC012,0.0,0.0,9000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 10:30:00,28800.0,37800.0
lot5,DN-32-S,1,500,1/2/2026,5,1,,M-0082,0.0,0.0,112000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/02/2026 15:06:40,28800.0,140800.0
lot5,DN-32-S,1,500,1/2/2026,5,2,M-0082,M-0082,0.0,0.0,199000.0,01/02/2026 15:06:40,01/02/2026 15:06:40,01/04/2026 22:23:20,140800.0,339800.0
lot6,DR4-6-M6,2,100,1/4/2026,6,4,,M-0241,0.0,0.0,29900.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 16:18:20,28800.0,58700.0
lot7,DTR12-12-6-S,4,80,1/4/2026,7,4,,M-0041,0.0,0.0,8400.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 10:20:00,28800.0,37200.0
lot8,G82B-3B-BOD-D-8M-S,1,500,1/2/2026,8,1,,M-0042,0.0,0.0,267500.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/04/2026 10:18:20,28800.0,296300.0
lot8,G82B-3B-BOD-D-8M-S,1,500,1/2/2026,8,2,M-0042,DNC011,2040.0,0.0,167500.0,01/04/2026 10:52:20,01/04/2026 10:52:20,01/06/2026 09:24:00,298340.0,465840.0
lot9,86A-3BF8N-CNT-SG-S,1,100,1/3/2026,9,3,,G-002,0.0,0.0,34000.0,01/01/2026 17:26:40,01/01/2026 17:26:40,01/02/2026 02:53:20,62800.0,96800.0
lot10,DC-25M-S,3,80,1/3/2026,10,4,,M-0081,0.0,0.0,10160.0,01/03/2026 00:33:20,01/03/2026 00:33:20,01/03/2026 03:22:40,174800.0,184960.0
