Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,149:30:00,112:00:00,127:30:00,102:30:00
Setup Count,299,224,255,205
Product-Machine Pairs,273,231,251,215
Moving Time,13:34:00,20:04:00,18:24:00,17:50:00
Moving Count,71,102,94,94
Proc Time,8134:46:05,8417:14:50,8308:03:10,8305:47:20
Processing (sec),29285165.00,30302090.00,29908990.00,29900840.00
Total Time (sec),29872205.00,30777530.00,30434230.00,30334040.00
Average Flow Time (sec),305727.77,324996.31,318416.60,294272.90
Makespan,591:32:40,361:56:10,316:51:55,353:21:35
Schedule Span,583:32:40,353:56:10,308:51:55,345:21:35
Tardiness,7010:31:15,8402:05:40,5222:44:25,5248:11:30
Tardy Lots,87,114,90,83
Objective,126870576.0,129743432.0,86955991.5,84023074.5
Solve Time,630.44s,1.86s,32.59s,185.53s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,94
Number of Updates,-,0,5,23
Absolute Gap vs Best,42847501.500000,45720357.500000,2932917.000000,0.000000
RPD vs Best (%),50.9949%,54.4140%,3.4906%,0.0000%
MIP Gap,83.90%,-,-,-
