Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,108:00:00,107:00:00,117:00:00,91:30:00
Setup Count,216,214,234,183
Product-Machine Pairs,173,228,229,214
Moving Time,23:31:00,21:31:00,19:29:00,20:31:00
Moving Count,86,102,100,90
Proc Time,8265:13:10,8417:14:50,8345:29:00,8321:00:40
Processing (sec),29754790.00,30302090.00,30043740.00,29955640.00
Total Time (sec),30228250.00,30764750.00,30535080.00,30358900.00
Average Flow Time (sec),632063.66,333813.56,327198.39,290965.41
Makespan,954:08:10,361:56:10,324:08:10,371:12:10
Schedule Span,946:08:10,353:56:10,316:08:10,363:12:10
Tardiness,31473:19:05,8459:51:55,5510:54:10,4790:16:05
Tardy Lots,183,114,93,70
Objective,539320349.999696,130324765.0,91855400.0,70255555.0
Solve Time,634.57s,1.87s,32.15s,184.53s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,98
Number of Updates,-,0,6,26
Absolute Gap vs Best,469064794.999696,60069210.000000,21599845.000000,0.000000
RPD vs Best (%),667.6551%,85.5010%,30.7447%,0.0000%
MIP Gap,96.22%,-,-,-
