Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,150:30:00,110:30:00,124:30:00,91:30:00
Setup Count,301,221,249,183
Product-Machine Pairs,287,228,240,218
Moving Time,20:29:00,20:06:00,18:33:00,18:21:00
Moving Count,78,102,93,93
Proc Time,8107:06:30,8417:14:50,8284:40:15,8316:32:20
Processing (sec),29185590.00,30302090.00,29824815.00,29939540.00
Total Time (sec),29801130.00,30772250.00,30339795.00,30335000.00
Average Flow Time (sec),325585.99,325688.99,320467.97,275024.84
Makespan,582:27:10,361:56:10,318:42:15,345:35:20
Schedule Span,574:27:10,353:56:10,310:42:15,337:35:20
Tardiness,8240:43:35,8403:05:05,5245:18:05,3956:15:00
Tardy Lots,97,118,91,56
Objective,176043525.0,129607520.0,86299200.0,60526940.0
Solve Time,630.45s,1.95s,34.32s,219.06s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,88
Number of Updates,-,0,4,24
Absolute Gap vs Best,115516585.000000,69080580.000000,25772260.000000,0.000000
RPD vs Best (%),190.8515%,114.1320%,42.5798%,0.0000%
MIP Gap,88.47%,-,-,-
