Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,90:30:00,106:30:00,115:30:00,86:30:00
Setup Count,181,213,231,173
Product-Machine Pairs,157,227,228,208
Moving Time,19:44:00,21:20:00,19:23:00,17:55:00
Moving Count,72,100,93,89
Proc Time,8101:21:30,8396:24:50,8287:05:15,8262:23:35
Processing (sec),29164890.00,30227090.00,29833515.00,29744615.00
Total Time (sec),29561730.00,30687290.00,30319095.00,30120515.00
Average Flow Time (sec),745439.26,332638.29,320809.33,270285.67
Makespan,1045:17:50,361:56:10,325:12:30,346:34:10
Schedule Span,1037:17:50,353:56:10,317:12:30,338:34:10
Tardiness,42433:19:05,8360:12:40,5304:58:40,4963:58:15
Tardy Lots,215,113,86,70
Objective,855545844.9996585,159828310.0,116403335.0,109878680.0
Solve Time,633.69s,1.65s,28.21s,159.72s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,55,98
Number of Updates,-,0,4,25
Absolute Gap vs Best,745667164.999658,49949630.000000,6524655.000000,0.000000
RPD vs Best (%),678.6277%,45.4589%,5.9381%,0.0000%
MIP Gap,94.22%,-,-,-
