Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,80,80,80,80
Products,16,16,16,16
Setup Time,18:00:00,02:30:00,02:30:00,02:30:00
Setup Count,36,5,5,5
Product-Machine Pairs,38,21,21,21
Moving Time,00:31:00,00:31:00,00:31:00,00:31:00
Moving Count,1,1,1,1
Proc Time,713:56:15,705:16:15,705:16:15,705:16:15
Processing (sec),2570175.00,2538975.00,2538975.00,2538975.00
Total Time (sec),2636835.00,2549835.00,2549835.00,2549835.00
Average Flow Time (sec),149082.25,143080.25,143080.25,143080.25
Makespan,129:21:00,129:21:00,129:21:00,129:21:00
Schedule Span,121:21:00,121:21:00,121:21:00,121:21:00
Tardiness,208:34:20,208:34:20,208:34:20,208:34:20
Tardy Lots,4,4,4,4
Objective,3753640.0,3753640.0,3753640.0,3753640.0
Solve Time,8.11s,0.09s,1.74s,8.95s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,0,0
Number of Updates,-,0,0,0
Absolute Gap vs Best,0.000000,0.000000,0.000000,0.000000
RPD vs Best (%),0.0000%,0.0000%,0.0000%,0.0000%
MIP Gap,0.00%,-,-,-
