lot ID,Product ID,Option,Qty,Due date,Priority,Operation Sequence,Prev Machine,Machine ID,Moving Time,Setup Time,Processing Time,Start Time (sec),Processing Start,End Time (sec),Processing Start (raw sec),End Time (raw sec)
lot1,86A-3BF8N-CNT-SG-S,1,100,1/4/2026,1,3,,M-0241,0.0,0.0,34000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 17:26:40,28800.0,62800.0
lot2,DC-25M-S,1,500,1/2/2026,2,1,,M-0082,0.0,0.0,31000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 16:36:40,28800.0,59800.0
lot2,DC-25M-S,1,500,1/2/2026,2,2,M-0082,M-0082,0.0,0.0,115000.0,01/01/2026 16:36:40,01/01/2026 16:36:40,01/03/2026 00:33:20,59800.0,174800.0
lot3,DCF6-8N-HC,1,120,1/5/2026,3,3,,M-0241,0.0,1800.0,36960.0,01/04/2026 13:14:00,01/04/2026 13:44:00,01/05/2026 00:00:00,308640.0,345600.0
lot4,DMAA12-8-B,2,100,1/3/2026,4,3,,DNC012,0.0,1800.0,9000.0,01/02/2026 21:00:00,01/02/2026 21:30:00,01/03/2026 00:00:00,163800.0,172800.0
lot5,DN-32-S,1,500,1/2/2026,5,1,,M-0081,0.0,0.0,112000.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/02/2026 15:06:40,28800.0,140800.0
lot5,DN-32-S,1,500,1/2/2026,5,2,M-0081,M-0081,0.0,0.0,199000.0,01/02/2026 15:06:40,01/02/2026 15:06:40,01/04/2026 22:23:20,140800.0,339800.0
lot6,DR4-6-M6,2,100,1/4/2026,6,4,,M-0241,0.0,1800.0,29900.0,01/01/2026 18:36:00,01/01/2026 19:06:00,01/02/2026 03:24:20,68760.0,98660.0
lot7,DTR12-12-6-S,4,80,1/4/2026,7,4,,M-0041,0.0,1800.0,8400.0,01/03/2026 04:03:20,01/03/2026 04:33:20,01/03/2026 06:53:20,189200.0,197600.0
lot8,G82B-3B-BOD-D-8M-S,1,500,1/2/2026,8,1,,M-0043,0.0,0.0,267500.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/04/2026 10:18:20,28800.0,296300.0
lot8,G82B-3B-BOD-D-8M-S,1,500,1/2/2026,8,2,M-0043,DNC013,1860.0,1800.0,167500.0,01/04/2026 10:19:20,01/04/2026 10:49:20,01/06/2026 09:21:00,298160.0,465660.0
lot9,86A-3BF8N-CNT-SG-S,1,100,1/3/2026,9,3,,M-0241,0.0,1800.0,34000.0,01/02/2026 14:03:20,01/02/2026 14:33:20,01/03/2026 00:00:00,138800.0,172800.0
lot10,DC-25M-S,3,80,1/3/2026,10,4,,M-0083,0.0,1800.0,10160.0,01/02/2026 20:40:40,01/02/2026 21:10:40,01/03/2026 00:00:00,162640.0,172800.0
lot11,BRK-82C-AT045S-S,1,460,1/2/2026,1,1,,M-0004,0.0,0.0,87400.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/02/2026 08:16:40,28800.0,116200.0
lot12,DC-12-S,2,440,1/3/2026,2,1,,M-0042,0.0,1800.0,52800.0,01/01/2026 18:10:00,01/01/2026 18:40:00,01/02/2026 09:20:00,67200.0,120000.0
lot12,DC-12-S,2,440,1/3/2026,2,2,M-0042,M-0042,0.0,0.0,52800.0,01/02/2026 09:20:00,01/02/2026 09:20:00,01/03/2026 00:00:00,120000.0,172800.0
lot13,DCF12M-8N-B,3,100,1/4/2026,3,1,,M-0083,0.0,0.0,8000.0,01/02/2026 05:59:25,01/02/2026 05:59:25,01/02/2026 08:12:45,107965.0,115965.0
lot13,DCF12M-8N-B,3,100,1/4/2026,3,2,M-0083,M-0083,0.0,0.0,7500.0,01/02/2026 09:12:45,01/02/2026 09:12:45,01/02/2026 11:17:45,119565.0,127065.0
lot13,DCF12M-8N-B,3,100,1/4/2026,3,3,M-0083,M-0083,0.0,1800.0,6000.0,01/03/2026 03:10:30,01/03/2026 03:40:30,01/03/2026 05:20:30,186030.0,192030.0
lot14,DCW8-8P-PE-S,1,500,1/5/2026,4,1,,M-0122,0.0,0.0,95000.0,01/01/2026 08:50:00,01/01/2026 08:50:00,01/02/2026 11:13:20,31800.0,126800.0
lot15,DLM4-6N-MS,2,120,1/6/2026,5,1,,DNC011,0.0,0.0,12000.0,01/01/2026 10:50:00,01/01/2026 10:50:00,01/01/2026 14:10:00,39000.0,51000.0
lot15,DLM4-6N-MS,2,120,1/6/2026,5,2,DNC011,DNC011,0.0,0.0,10800.0,01/01/2026 14:10:00,01/01/2026 14:10:00,01/01/2026 17:10:00,51000.0,61800.0
lot16,DMCT12M-16G-S,3,100,1/7/2026,6,1,,M-0242,0.0,0.0,8000.0,01/01/2026 09:00:00,01/01/2026 09:00:00,01/01/2026 11:13:20,32400.0,40400.0
lot16,DMCT12M-16G-S,3,100,1/7/2026,6,2,M-0242,M-0242,0.0,0.0,7500.0,01/01/2026 11:13:20,01/01/2026 11:13:20,01/01/2026 13:18:20,40400.0,47900.0
lot16,DMCT12M-16G-S,3,100,1/7/2026,6,3,M-0242,M-0242,0.0,0.0,6000.0,01/01/2026 13:18:20,01/01/2026 13:18:20,01/01/2026 14:58:20,47900.0,53900.0
lot17,DTBM5-4N-S,2,500,1/8/2026,7,1,,M-0003,0.0,1800.0,50000.0,01/02/2026 01:28:20,01/02/2026 01:58:20,01/02/2026 15:51:40,93500.0,143500.0
lot17,DTBM5-4N-S,2,500,1/8/2026,7,2,M-0003,M-0003,0.0,0.0,45000.0,01/05/2026 20:51:00,01/05/2026 20:51:00,01/06/2026 09:21:00,420660.0,465660.0
lot18,KCF8T-6N-S,2,100,1/9/2026,8,2,,M-0043,0.0,1800.0,9000.0,01/04/2026 10:18:20,01/04/2026 10:48:20,01/04/2026 13:18:20,298100.0,307100.0
lot19,BRK-82C-AT045S-S,3,80,1/2/2026,9,3,,M-0003,0.0,1800.0,4800.0,01/01/2026 22:05:00,01/01/2026 22:35:00,01/01/2026 23:55:00,81300.0,86100.0
lot20,DC-12-S,1,500,1/3/2026,10,1,,M-0041,0.0,0.0,75000.0,01/02/2026 02:06:40,01/02/2026 02:06:40,01/02/2026 22:56:40,94000.0,169000.0
lot21,DCF12M-8N-B,2,100,1/4/2026,1,2,,M-0083,0.0,0.0,9000.0,01/03/2026 21:30:00,01/03/2026 21:30:00,01/04/2026 00:00:00,250200.0,259200.0
lot22,DCW8-8P-PE-S,1,80,1/5/2026,2,1,,M-0122,0.0,0.0,15200.0,01/04/2026 19:46:40,01/04/2026 19:46:40,01/05/2026 00:00:00,330400.0,345600.0
lot23,DLM4-6N-MS,1,460,1/6/2026,3,1,,DNC013,0.0,0.0,87400.0,01/01/2026 09:00:00,01/01/2026 09:00:00,01/02/2026 09:16:40,32400.0,119800.0
lot24,DMCT12M-16G-S,2,100,1/7/2026,4,2,,M-0241,0.0,1800.0,9000.0,01/03/2026 23:53:00,01/04/2026 00:23:00,01/04/2026 02:53:00,260580.0,269580.0
lot25,DTBM5-4N-S,3,500,1/8/2026,5,2,,M-0003,0.0,1800.0,37500.0,01/01/2026 11:10:00,01/01/2026 11:40:00,01/01/2026 22:05:00,42000.0,79500.0
lot25,DTBM5-4N-S,3,500,1/8/2026,5,3,M-0003,M-0003,0.0,1800.0,30000.0,01/05/2026 12:01:00,01/05/2026 12:31:00,01/05/2026 20:51:00,390660.0,420660.0
lot26,DC-12-S,1,120,1/9/2026,6,1,,M-0042,0.0,1800.0,18000.0,01/03/2026 07:23:20,01/03/2026 07:53:20,01/03/2026 12:53:20,201200.0,219200.0
lot27,BRK-82C-AT045S-S,2,100,1/3/2026,7,2,,M-0004,0.0,0.0,9000.0,01/02/2026 21:30:00,01/02/2026 21:30:00,01/03/2026 00:00:00,163800.0,172800.0
lot28,DC-12-S,3,500,1/4/2026,8,3,,M-0042,0.0,0.0,40000.0,01/03/2026 12:53:20,01/03/2026 12:53:20,01/04/2026 00:00:00,219200.0,259200.0
lot29,DCF12M-8N-B,1,100,1/5/2026,9,1,,M-0083,0.0,1800.0,19000.0,01/02/2026 14:54:00,01/02/2026 15:24:00,01/02/2026 20:40:40,141840.0,160840.0
lot30,DCW8-8P-PE-S,2,80,1/6/2026,10,2,,M-0122,0.0,0.0,7200.0,01/02/2026 13:43:20,01/02/2026 13:43:20,01/02/2026 15:43:20,135800.0,143000.0
lot31,BRK-82C-AT045S-S,3,500,1/7/2026,1,3,,M-0003,0.0,1800.0,30000.0,01/02/2026 15:51:40,01/02/2026 16:21:40,01/03/2026 00:41:40,145300.0,175300.0
lot32,DCW8-8P-PE-S,2,100,1/8/2026,2,2,,M-0122,0.0,0.0,9000.0,01/02/2026 11:13:20,01/02/2026 11:13:20,01/02/2026 13:43:20,126800.0,135800.0
lot33,DC-12-S,1,80,1/9/2026,3,1,,M-0041,0.0,0.0,12000.0,01/02/2026 22:56:40,01/02/2026 22:56:40,01/03/2026 02:16:40,169000.0,181000.0
lot34,KCF8T-6N-S,2,460,1/5/2026,4,2,,M-0041,0.0,0.0,41400.0,01/01/2026 08:00:00,01/01/2026 08:00:00,01/01/2026 19:30:00,28800.0,70200.0
