Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,10,10,10,10
Products,8,8,8,8
Setup Time,01:00:00,00:30:00,00:30:00,00:30:00
Setup Count,2,1,1,1
Product-Machine Pairs,10,9,9,9
Moving Time,00:34:00,00:34:00,00:34:00,00:34:00
Moving Count,1,1,1,1
Proc Time,294:00:20,292:53:40,292:53:40,292:53:40
Processing (sec),1058420.00,1054420.00,1054420.00,1054420.00
Total Time (sec),1064060.00,1058260.00,1058260.00,1058260.00
Average Flow Time (sec),157006.00,155616.00,155616.00,155616.00
Makespan,129:24:00,129:24:00,129:24:00,129:24:00
Schedule Span,121:24:00,121:24:00,121:24:00,121:24:00
Tardiness,203:43:20,203:43:20,203:43:20,203:43:20
Tardy Lots,4,4,4,4
Objective,3468520.0,3468520.0,3468520.0,3468520.0
Solve Time,0.20s,0.02s,0.24s,1.50s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,0,0
Number of Updates,-,0,0,0
Absolute Gap vs Best,0.000000,0.000000,0.000000,0.000000
RPD vs Best (%),0.0000%,0.0000%,0.0000%,0.0000%
MIP Gap,0.00%,-,-,-
