Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,140:30:00,88:00:00,90:00:00,91:30:00
Setup Count,281,176,180,183
Product-Machine Pairs,275,215,210,214
Moving Time,12:17:00,18:05:00,20:09:00,18:30:00
Moving Count,67,91,92,92
Proc Time,8075:28:35,8315:37:45,8316:29:25,8329:01:55
Processing (sec),29071715.00,29936265.00,29939365.00,29984515.00
Total Time (sec),29621735.00,30318165.00,30335905.00,30380515.00
Average Flow Time (sec),312237.06,230757.30,235126.30,231557.41
Makespan,549:15:45,324:22:00,297:39:30,298:33:25
Schedule Span,541:15:45,316:22:00,289:39:30,290:33:25
Tardiness,6187:08:10,4093:33:35,3684:15:30,3644:22:00
Tardy Lots,77,56,54,52
Objective,124552625.0,52107160.0,47778475.0,48023390.0
Solve Time,633.33s,1.83s,93.59s,98.11s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,100,79
Number of Updates,-,0,14,11
Absolute Gap vs Best,76774150.000000,4328685.000000,0.000000,244915.000000
RPD vs Best (%),160.6877%,9.0599%,0.0000%,0.5126%
MIP Gap,83.67%,60.96%,57.42%,57.64%
