Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,145:30:00,106:30:00,104:00:00,102:30:00
Setup Count,291,213,208,205
Product-Machine Pairs,280,240,232,233
Moving Time,12:21:00,19:30:00,19:02:00,19:13:00
Moving Count,68,91,92,91
Proc Time,8080:03:35,8326:12:20,8320:39:25,8303:58:35
Processing (sec),29088215.00,29974340.00,29954365.00,29894315.00
Total Time (sec),29656475.00,30427940.00,30397285.00,30332495.00
Average Flow Time (sec),308976.18,228374.54,234143.63,225142.00
Makespan,460:23:50,321:24:10,343:53:45,315:34:15
Schedule Span,452:23:50,313:24:10,335:53:45,307:34:15
Tardiness,5868:39:45,4066:26:35,3734:29:30,3701:05:25
Tardy Lots,81,57,56,61
Objective,108849843.0,55056930.0,50459932.5,50100260.5
Solve Time,631.34s,1.83s,94.26s,96.39s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,80,31
Number of Updates,-,0,9,8
Absolute Gap vs Best,58749582.500000,4956669.500000,359672.000000,0.000000
RPD vs Best (%),117.2640%,9.8935%,0.7179%,0.0000%
MIP Gap,81.23%,62.89%,59.51%,59.22%
