Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,104:30:00,79:00:00,82:30:00,85:00:00
Setup Count,209,158,165,170
Product-Machine Pairs,181,203,201,206
Moving Time,22:57:00,20:06:00,19:29:00,19:48:00
Moving Count,86,92,91,90
Proc Time,8202:45:15,8311:45:15,8311:32:45,8322:06:05
Processing (sec),29529915.00,29922315.00,29921565.00,29959565.00
Total Time (sec),29988735.00,30279075.00,30288705.00,30336845.00
Average Flow Time (sec),972527.74,234948.79,234625.13,233823.76
Makespan,951:58:10,326:14:50,317:57:30,322:42:30
Schedule Span,943:58:10,318:14:50,309:57:30,314:42:30
Tardiness,64243:22:20,4041:05:45,3626:50:45,3290:16:20
Tardy Lots,222,57,52,55
Objective,1229240770.0,53829210.0,49718285.0,47604730.0
Solve Time,633.25s,1.59s,80.33s,89.55s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,98,100
Number of Updates,-,0,9,22
Absolute Gap vs Best,1181636040.000000,6224480.000000,2113555.000000,0.000000
RPD vs Best (%),2482.1820%,13.0753%,4.4398%,0.0000%
MIP Gap,98.34%,62.09%,58.95%,57.13%
