Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,157:30:00,88:30:00,91:00:00,98:30:00
Setup Count,315,177,182,197
Product-Machine Pairs,296,211,217,225
Moving Time,20:47:00,18:49:00,18:29:00,20:39:00
Moving Count,81,91,88,96
Proc Time,8167:01:05,8309:27:45,8293:28:35,8350:28:35
Processing (sec),29401265.00,29914065.00,29856515.00,30061715.00
Total Time (sec),30043085.00,30300405.00,30250655.00,30490655.00
Average Flow Time (sec),351157.29,237382.03,238037.74,234497.40
Makespan,950:00:55,322:54:45,323:08:30,346:29:50
Schedule Span,942:00:55,314:54:45,315:08:30,338:29:50
Tardiness,11387:39:55,4256:35:25,4033:10:35,3640:16:00
Tardy Lots,102,57,59,54
Objective,216487365.0,54312685.0,49896365.0,47897310.0
Solve Time,629.22s,1.80s,91.31s,96.17s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,82,99
Number of Updates,-,0,11,16
Absolute Gap vs Best,168590055.000000,6415375.000000,1999055.000000,0.000000
RPD vs Best (%),351.9823%,13.3940%,4.1736%,0.0000%
MIP Gap,90.62%,62.63%,59.32%,57.62%
