Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,71:00:00,80:00:00,80:00:00,83:00:00
Setup Count,142,160,160,166
Product-Machine Pairs,166,202,197,204
Moving Time,20:36:00,19:08:00,19:50:00,19:52:00
Moving Count,81,87,89,91
Proc Time,8182:24:50,8285:18:10,8311:32:20,8328:53:10
Processing (sec),29456690.00,29827090.00,29921540.00,29983990.00
Total Time (sec),29786450.00,30183970.00,30280940.00,30354310.00
Average Flow Time (sec),434046.13,237355.11,240875.51,235045.60
Makespan,772:51:50,320:45:00,319:15:50,346:29:50
Schedule Span,764:51:50,312:45:00,311:15:50,338:29:50
Tardiness,17896:01:35,4231:02:35,3728:27:00,3661:59:00
Tardy Lots,131,56,56,55
Objective,375776965.0,84669480.0,79032585.0,78515545.0
Solve Time,633.87s,1.77s,93.97s,93.62s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,90,90
Number of Updates,-,0,14,14
Absolute Gap vs Best,297261420.000000,6153935.000000,517040.000000,0.000000
RPD vs Best (%),378.6020%,7.8379%,0.6585%,0.0000%
MIP Gap,86.83%,41.56%,37.39%,36.98%
