Metric,MIP,B.Greedy,G+Roulette,G+LNS
Lots,350,350,350,350
Products,32,32,32,32
Setup Time,45:00:00,80:00:00,80:00:00,83:00:00
Setup Count,90,160,160,166
Product-Machine Pairs,137,202,197,204
Moving Time,13:57:00,19:08:00,19:50:00,19:52:00
Moving Count,68,87,89,91
Proc Time,8075:12:45,8285:18:10,8311:32:20,8328:53:10
Processing (sec),29070765.00,29827090.00,29921540.00,29983990.00
Total Time (sec),29282985.00,30183970.00,30280940.00,30354310.00
Average Flow Time (sec),317358.79,237355.11,240875.51,235045.60
Makespan,499:06:55,320:45:00,319:15:50,346:29:50
Schedule Span,491:06:55,312:45:00,311:15:50,338:29:50
Tardiness,5493:47:40,4231:02:35,3728:27:00,3661:59:00
Weighted Tardiness,95307500.00,54485510.00,48751645.00,48161235.00
Tardy Lots,61,56,56,55
Objective,124590485.0,84669480.0,79032585.0,78515545.0
Solve Time (incl. Greedy),7332.98s,1.80s,92.54s,91.53s
Number of Iterations,-,1,100,100
Best Iteration Found,-,1,90,90
Number of Updates,-,0,14,14
Absolute Gap vs Best,46074940.000000,6153935.000000,517040.000000,0.000000
RPD vs Best (%),58.6826%,7.8379%,0.6585%,0.0000%
MIP Gap,60.28%,41.56%,37.39%,36.98%
