Metric,B.Greedy,G+Roulette,G+LNS
Lots,10,10,10
Products,8,8,8
Setup Time,01:00:00,01:00:00,01:00:00
Setup Count,2,2,2
Product-Machine Pairs,9,9,9
Moving Time,00:34:00,00:34:00,00:34:00
Moving Count,1,1,1
Proc Time,292:53:40,292:53:40,292:53:40
Processing (sec),1054420.00,1054420.00,1054420.00
Total Time (sec),1060060.00,1060060.00,1060060.00
Average Flow Time (sec),156322.00,156322.00,156322.00
Makespan,129:24:00,129:24:00,129:24:00
Schedule Span,121:24:00,121:24:00,121:24:00
Tardiness,203:43:20,203:43:20,203:43:20
Tardy Lots,4,4,4
Objective,3466480.0,3466480.0,3466480.0
Solve Time,0.43s,3.92s,7.34s
Number of Iterations,2,100,100
Best Iteration Found,1,0,0
Number of Updates,0,0,0
Absolute Gap vs Best,0.000000,0.000000,0.000000
RPD vs Best (%),0.0000%,0.0000%,0.0000%
MIP Gap,0.00%,0.00%,0.00%
